Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player7,Finn,None,None
00:00:00:000,Player7,Finn,Player8,Player8
00:00:03:033,Player6,jake,None,None
00:00:03:033,Player6,jake,Player3,Player3
00:00:03:700,Player3,Gru,None,None
00:00:03:700,Player3,Gru,Player6,jake
00:00:06:033,Player6,jake,None,None
00:00:06:033,Player6,jake,Player8,Player8
00:00:06:100,Player1,Shrek,None,None
00:00:06:100,Player1,Shrek,Player9,Player9
00:00:06:200,Player6,jake,None,None
00:00:06:200,Player6,jake,Player8,Player8
00:00:06:400,Player9,Naruto,None,None
00:00:06:400,Player9,Naruto,Player6,jake
00:00:09:033,Player8,drdoof,None,None
00:00:09:033,Player8,drdoof,Player7,Finn
00:00:09:067,Player5,Rigby,None,None
00:00:09:067,Player5,Rigby,Player8,drdoof
00:00:09:133,Player8,drdoof,None,None
00:00:09:133,Player8,drdoof,Player7,Finn
00:00:10:000,Player5,Rigby,None,None
00:00:10:000,Player5,Rigby,Player4,Player4
00:00:12:367,Player8,drdoof,None,None
00:00:12:367,Player8,drdoof,Player2,Player2
00:00:27:733,Player5,Rigby,None,None
00:00:27:733,Player5,Rigby,Player7,Finn
00:00:28:433,Player7,Finn,None,None
00:00:28:433,Player7,Finn,Player5,Rigby
00:00:28:567,Player5,Rigby,None,None
00:00:28:567,Player5,Rigby,Player7,Finn
00:00:30:633,Player8,drdoof,None,None
00:00:30:633,Player8,drdoof,Player5,Rigby
00:00:32:200,Player5,Rigby,None,None
00:00:32:200,Player5,Rigby,Player8,drdoof
00:00:36:967,Player7,Finn,None,None
00:00:36:967,Player7,Finn,Player8,drdoof
00:00:51:433,Player8,drdoof,None,None
00:00:51:433,Player8,drdoof,Player7,Finn
00:00:52:333,Player7,Finn,None,None
00:00:52:333,Player7,Finn,Player4,Player4
00:00:52:367,Player8,drdoof,None,None
00:00:52:367,Player8,drdoof,Player9,Naruto
00:00:52:600,Player7,Finn,None,None
00:00:52:600,Player7,Finn,Player8,drdoof
