Time,Winner,Nickname
00:00:00:000,Player7,Finn
00:00:00:000,Player7,Finn
00:00:03:033,Player6,Homero
00:00:03:033,Player6,Homero
00:00:03:233,Player3,Rigby
00:00:03:233,Player3,Rigby
00:00:03:467,Player6,Homero
00:00:03:467,Player6,Homero
00:00:03:567,Player3,Rigby
00:00:03:567,Player3,Rigby
00:00:06:033,Player2,Darwin
00:00:06:033,Player2,Darwin
00:00:06:067,Player4,drdoof
00:00:06:067,Player4,drdoof
00:00:06:167,Player2,Darwin
00:00:06:167,Player2,Darwin
00:00:09:033,Player7,Finn
00:00:09:033,Player7,Finn
00:00:09:100,Player9,Gumball
00:00:09:100,Player9,Gumball
00:00:09:133,Player1,jake
00:00:09:133,Player1,jake
00:00:09:233,Player9,Gumball
00:00:09:233,Player9,Gumball
00:00:24:100,Player5,Naruto
00:00:24:100,Player5,Naruto
00:00:24:800,Player8,BMO
00:00:24:800,Player8,BMO
00:00:27:100,Player5,Naruto
00:00:27:100,Player5,Naruto
00:00:27:267,Player9,Gumball
00:00:27:267,Player9,Gumball
00:00:27:567,Player2,Darwin
00:00:27:567,Player2,Darwin
00:00:30:033,Player4,drdoof
00:00:30:033,Player4,drdoof
00:00:30:100,Player5,Naruto
00:00:30:100,Player5,Naruto
00:00:30:300,Player4,drdoof
00:00:30:300,Player4,drdoof
00:00:30:333,Player5,Naruto
00:00:30:333,Player5,Naruto
00:00:30:367,Player3,Rigby
00:00:30:367,Player3,Rigby
00:00:32:700,Player5,Naruto
00:00:32:700,Player5,Naruto
00:00:33:033,Player9,Gumball
00:00:33:033,Player9,Gumball
00:00:33:233,Player4,drdoof
00:00:33:233,Player4,drdoof
00:00:33:333,Player1,jake
00:00:33:333,Player1,jake
00:00:43:433,Player6,Homero
00:00:43:433,Player6,Homero
00:00:43:567,Player1,jake
00:00:43:567,Player1,jake
